kanwil,kota,alamat,lat,lon,presisi
Aceh,Banda Aceh,"Jl. Tengku H.M. Daud Beureueh, Banda Aceh",5.548,95.323,perkiraan tingkat kota
Sumatera Utara,Medan,"Jl. Jend. Gatot Subroto No. 180, Medan",3.595,98.672,perkiraan tingkat kota
Sumatera Barat,Padang,"Jl. H.M. Thamrin No. 24, Padang",-0.947,100.417,perkiraan tingkat kota
Sumatera Selatan & Bangka Belitung,Palembang,"Jl. Perintis Kemerdekaan No. 1, Palembang",-2.976,104.775,perkiraan tingkat kota
Riau & Kepulauan Riau,Pekanbaru,"Jl. Cut Nyak Dien No. 24, Pekanbaru",0.507,101.447,perkiraan tingkat kota
Jambi,Jambi,"Jl. R.DP. Kolopaking No. 40, Telanaipura, Jambi",-1.61,103.613,perkiraan tingkat kota
Bengkulu,Bengkulu,"Jl. Pembangunan No. 5, Bengkulu",-3.8,102.266,perkiraan tingkat kota
Lampung,Bandar Lampung,"Jl. Cut Meutia No. 29, Bandar Lampung",-5.429,105.262,perkiraan tingkat kota
Kalimantan Barat,Pontianak,"Jl. Sultan Abdurrahman No. 129, Pontianak",-0.026,109.342,perkiraan tingkat kota
Kalimantan Selatan,Banjarmasin,"Jl. Jend. A. Yani Km 6 No. 561, Banjarmasin",-3.319,114.591,perkiraan tingkat kota
Kalimantan Timur & Kalimantan Utara,Balikpapan,"Jl. Jend. Sudirman No. 335, Balikpapan",-1.265,116.831,perkiraan tingkat kota
Kalimantan Tengah,Palangka Raya,"Jl. RTA Milono Km 3, Palangka Raya",-2.21,113.917,perkiraan tingkat kota
DKI Jakarta & Banten,Jakarta Utara,"Jl. Perintis Kemerdekaan, Kelapa Gading, Jakarta Utara",-6.16,106.9,perkiraan tingkat kota
Jawa Barat,Bandung,"Jl. Soekarno-Hatta No. 711A, Bandung",-6.939,107.678,perkiraan tingkat kota
Jawa Tengah,Semarang,"Jl. Menteri Supeno I/1, Semarang",-6.983,110.41,perkiraan tingkat kota
DI Yogyakarta,Yogyakarta,"Jl. Suroto No. 6, Yogyakarta",-7.783,110.367,perkiraan tingkat kota
Jawa Timur,Surabaya,"Jl. Jend. A. Yani No. 146-148, Surabaya",-7.32,112.732,perkiraan tingkat kota
Bali,Denpasar,"Jl. Raya Puputan No. 35, Renon, Denpasar",-8.6719,115.2289,titik alamat
Nusa Tenggara Barat,Mataram,"Jl. Langko No. 110, Mataram",-8.583,116.117,perkiraan tingkat kota
Nusa Tenggara Timur,Kupang,"Jl. Palapa No. 14, Kupang",-10.177,123.607,perkiraan tingkat kota
Sulawesi Utara & Gorontalo,Manado,"Jl. Diponegoro No. 7-8, Manado",1.487,124.846,perkiraan tingkat kota
Sulawesi Tengah,Palu,"Jl. Prof. Moh. Yamin, Palu",-0.898,119.871,perkiraan tingkat kota
Sulawesi Tenggara,Kendari,"Jl. Drs. Abdullah Silondae No. 1, Kendari",-3.995,122.514,perkiraan tingkat kota
Sulawesi Selatan & Sulawesi Barat,Makassar,"Jl. A.P. Pettarani Selatan, Makassar",-5.148,119.432,perkiraan tingkat kota
Maluku & Maluku Utara,Ambon,"Daerah Pengeringan Pantai Waihaong, Ambon",-3.695,128.181,perkiraan tingkat kota
Papua & Papua Barat,Jayapura,"Jl. Nindya No. 1, Jayapura",-2.533,140.717,perkiraan tingkat kota
