id_sppg,nama,prov,kab,kec,desa,alamat,lat,lon,presisi,kode_kab_bps,kode_kec_bps
S00001,SPPG Kebumen Buayan Rangkah,JAWA TENGAH,KEBUMEN,BUAYAN,ADIWARNO,"Jl. Karangbolong,Adiwarno, Kec. Buayan, Kabupaten Kebumen, Jawa Tengah, Rangkah, Buayan, Kab. Kebumen, Jawa Tengah",-7.64387,109.46161,kecamatan,3305,3305020
S00002,SPPG Tanah Laut Tambang Ulang Sungai Pinang,KALIMANTAN SELATAN,TANAH LAUT,TAMBANG ULANG,SUNGAI PINANG,Jl. Kebun Karet H. Abidin Rt 002 Rw 001 Desa Sungai Pinang Kec. Tambang Ulang Kab. Tanah Laut,-3.64007,114.78553,kecamatan,6301,6301050
S00003,SPPG Kota Batam Sagulung Tembesi 1,KEPULAUAN RIAU,KOTA BATAM,SAGULUNG,TEMBESI,"Jl Letjen Suprapto, Daerah Mall Top 100 Tembesi (Depan Rusunawa)",1.0367,103.94921,kecamatan,2171,2171041
S00004,SPPG Kebumen Prembun Tunggalroso,JAWA TENGAH,KEBUMEN,PREMBUN,TUNGGALROSO,Desa Tunggalroso Kecamatan Prembun Kabupaten Kebumen Jawa Tengah,-7.70577,109.78893,kecamatan,3305,3305090
S00005,SPPG Cianjur Sukaluyu Sindangraja,JAWA BARAT,CIANJUR,SUKALUYU,SINDANGRAJA,Jl. Raya Cibogo Bandung Jonggol sindangraja sukaluyu cianjur Jawa Barat,-6.80308,107.23709,kecamatan,3203,3203150
S00006,SPPG Kota Kupang Maulafa Maulafa,NUSA TENGGARA TIMUR,KOTA KUPANG,MAULAFA,MAULAFA,"Jln. Fetor feonay, Rt 16/ Rw 06,Kel. Maulafa,Kec. Maulafa,Kota Kupang,NTT",-10.20326,123.62877,kecamatan,5371,5371020
S00007,SPPG Simalungun Gunung Maligas Karang Sari,SUMATERA UTARA,SIMALUNGUN,GUNUNG MALIGAS,KARANG SARI,"Jl. Purwo Huta Tiga, Karang Sari, Kec. Gunung Maligas, Kab. Simalungun, Sumatera Utara",3.04841,99.15669,kecamatan,1209,1209162
S00008,SPPG Sukabumi Cibadak Pamuruyan 2,JAWA BARAT,SUKABUMI,CIBADAK,PAMURUYAN,"Jl. Pamuruyan Leuweung Datar, Desa Pamuruyan, Kec. Cibadak, Kab. Sukabumi, Jawa Barat",-6.56667,106.95,kecamatan,3202,3202210
S00009,SPPG Muna Barat Tiworo Utara Tondasi,SULAWESI TENGGARA,MUNA BARAT,TIWORO UTARA,TONDASI,"Jl. Poros Tondasi, Desa Tondasi, Kecamatan Tiworo Utara, Kabupaten Muna Barat, Sulawesi Tenggara",-4.67044,122.37309,kecamatan,7413,7413050
S00010,SPPG Kota Surakarta Banjarsari Kadipiro 3,JAWA TENGAH,KOTA SURAKARTA,BANJARSARI,KADIPIRO,"Jl. Kerinci No 20, Banjarsari, Kec. Banjarsari, Kota Surakarta, Jawa Tengah",-7.49651,108.60569,kecamatan,3372,3372050
