provinsi,jumlah_sppg_8jun2026,sumber
Aceh,737,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sumatera Utara,1592,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sumatera Barat,446,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Riau,775,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kepulauan Riau,263,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Jambi,234,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sumatera Selatan,850,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kepulauan Bangka Belitung,106,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Bengkulu,175,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Lampung,1209,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Banten,1403,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
DKI Jakarta,667,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Jawa Barat,6721,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Jawa Tengah,4590,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
DI Yogyakarta,461,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Jawa Timur,4340,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Bali,277,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Nusa Tenggara Barat,871,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Nusa Tenggara Timur,339,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kalimantan Barat,566,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kalimantan Tengah,136,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kalimantan Selatan,312,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kalimantan Timur,326,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Kalimantan Utara,67,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sulawesi Utara,203,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Gorontalo,117,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sulawesi Tengah,239,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sulawesi Barat,225,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sulawesi Selatan,892,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Sulawesi Tenggara,328,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Maluku,124,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Maluku Utara,125,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua,92,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua Barat,65,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua Selatan,20,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua Tengah,36,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua Pegunungan,14,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
Papua Barat Daya,48,BGN via IDN Times 8 Jun 2026 (bgn.go.id)
